ns,key,en,hu
,60FCD61846BED11591A3D5B7AB9547E8,"A box full of ground giant hogweed, can be used to make a tea.","Egy doboz őrölt kaukázusi medvetalp, teát lehet belőle főzni."
,DFA3BB024FB2A2546541C6BF9B70A31A,"A box full of ground king boletus, can be used to make a soup.","Egy doboz őrölt vargánya, levest lehet belőle főzni."
,26F298164C49B17993C7A8AB35EE1EF9,"A box full of ground mugwort, can be used to make a tea.","Egy doboz őrölt fekete üröm, teát lehet belőle főzni."
,9C3DA4004A5652BD1B4D6ABC3C17A8F5,"A box full of ground purple coneflower, can be used to make a tea.","Egy doboz őrölt bíbor kasvirág, teát lehet belőle főzni."
,5C5AA44C421BDBF460232CBD953DBE30,"A box full of ground sage, can be used to make a tea.","Egy doboz őrölt zsálya, teát lehet belőle főzni."
,528BD9314357699578BC00A600D30D8C,"A box full of ground witch's hat, can be used to make a soup.","Egy doboz őrölt boszorkánykalap gomba, levest lehet belőle főzni."
,D24E3B394401F75224D941B31D3E3096,A bundle of common mullein.\r\n\r\nSatisfies a tiny amount of hunger and may have an effect when consumed; can be refined further.,"Egy csokor ökörfarkkóró.\r\n\r\nApró mértékben csillapítja az éhséget, és fogyasztva lehet valami hatása; tovább finomítható."
,A63284C4415A44B759A54E833D2562E0,A bundle of giant hogweed.\r\n\r\nSatisfies a tiny amount of hunger and may have an effect when consumed; can be refined further.,"Egy csokor kaukázusi medvetalp.\r\n\r\nApró mértékben csillapítja az éhséget, és fogyasztva lehet valami hatása; tovább finomítható."
,0B93D7C942477A35AADF57A40A7EFF92,A bundle of knitbone.\r\n\r\nSatisfies a tiny amount of hunger and may have an effect when consumed; can be refined further.,"Egy csokor nadálytő.\r\n\r\nApró mértékben csillapítja az éhséget, és fogyasztva lehet valami hatása; tovább finomítható."
,C74AAED042CE0074F72E8F8FF4F24B8F,A bundle of mugwort. \r\n\r\nSatisfies a tiny amount of hunger and may have an effect when consumed; can be refined further.,"Egy csokor fekete üröm. \r\n\r\nApró mértékben csillapítja az éhséget, és fogyasztva lehet valami hatása; tovább finomítható."
,07A7D40D49193CC706DFA9AB6CBC6E03,A bundle of purple coneflower. \r\n\r\nSatisfies a tiny amount of hunger and may have an effect when consumed; can be refined further.,"Egy csokor bíbor kasvirág. \r\n\r\nApró mértékben csillapítja az éhséget, és fogyasztva lehet valami hatása; tovább finomítható."
,574642E1485396B357695DB895BF3AF4,A bundle of sage.\r\n\r\nSatisfies a tiny amount of hunger and may have an effect when consumed; can be refined further.,"Egy csokor zsálya.\r\n\r\nApró mértékben csillapítja az éhséget, és fogyasztva lehet valami hatása; tovább finomítható."
,73FD02704EE0B7B3FFB1B4A8D603523F,A bundle of wild garlic.\r\n\r\nSatisfies a tiny amount of hunger and may have an effect when consumed; can be refined further.,"Egy csokor medvehagyma.\r\n\r\nApró mértékben csillapítja az éhséget, és fogyasztva lehet valami hatása; tovább finomítható."
,9B03FEFB4B29521B46DC2E87B110B5DD,A bundle of wild ginger.\r\n\r\nSatisfies a tiny amount of hunger and may have an effect when consumed; can be refined further.,"Egy csokor vadgyömbér.\r\n\r\nApró mértékben csillapítja az éhséget, és fogyasztva lehet valami hatása; tovább finomítható."
,38D174064D98B983113353B1631C4F18,A bundle of yarrow.\r\n\r\nSatisfies a tiny amount of hunger and may have an effect when consumed; can be refined further.,"Egy csokor cickafark.\r\n\r\nApró mértékben csillapítja az éhséget, és fogyasztva lehet valami hatása; tovább finomítható."
,4B76445947D74B3BE1CF1E91974D531D,A cheap plastic trophy.,Egy olcsó műanyag trófea.
,53A0366249655DC44DADA3BDC4A141A4,A container of fish guts used for fishing bait.,Horgászcsalinak használt halbelsőség-tároló.
,241319C341EB77A09F08AF88FE1742A7,A container of nightcrawlers used for fishing bait.,Horgászcsalinak használt földigiliszta-tároló.
,C2170FBD4EE23341CCFCEC9DC2884E21,A handful of red elderberry.\r\n\r\nSatisfies a small amount of hunger and may have an effect when consumed; can be refined further.,"Egy maréknyi fürtös bodza.\r\n\r\nKis mértékben csillapítja az éhséget, és elfogyasztva lehet valami hatása; tovább finomítható."
,E294409241B9D51902B45F8A0E8DEC8C,A handful of wild blackberries.\r\n\r\nSatisfies a small amount of hunger and may have an effect when consumed; can be refined further.,"Egy maréknyi vadszeder.\r\n\r\nKis mértékben csillapítja az éhséget, és elfogyasztva lehet valami hatása; tovább finomítható."
,BA3742514876076F7422EA99FB42CE27,A handheld hydraulic cutter. Can be used underwater. The best cutting tool you'll find.\r\n\r\nUseful in crafting. Requires a heavy duty tool battery to function.,"Egy kézi hidraulikus vágó. Víz alatt is használható. A legjobb vágószerszám, amit találhatsz.\r\n\r\nHasznos barkácsoláshoz. Nehéz igénybevételű szerszámakkumulátor szükséges a működéséhez."
,ABF406024B0013CC74E3B591DCE4B3A5,A heart.,Egy szív.
,E7C03A6B4C9A46C6F2AF1D896B301EAE,A heavy bone that happens to be the perfect weight to be used as a hammer.\r\n\r\nCan be used in crafting.,"Egy nehéz csont, amely épp tökéletes súlyú ahhoz, hogy kalapácsként használd.\r\n\r\nBarkácsoláshoz használható."
,5C11DFEF48BD6DAE7037B5AB6E1B7747,A heavy tool used for grinding up spices or other ingredients.,Egy nehéz eszköz fűszerek vagy más hozzávalók összetöréséhez.
,9577C04D42FA9CF2E92791AABB42AF17,A heavy tool used for grinding up spices or other ingredients. \r\n\r\nCreated by using a hammer and screwdriver as a makeshift chisel.,Egy nehéz szerszám fűszerek vagy más hozzávalók aprítására. \r\n\r\nEgy kalapács és egy csavarhúzó rögtönzött vésőként való felhasználásával készült.
,95AACC144D25ABCBD4302CBBFB4A485B,A hydraulic driver. Can be used underwater. The best driving tool you'll find.\r\n\r\nUseful in crafting. Requires a heavy duty tool battery to function.,"Egy hidraulikus csavarbehajtó. Víz alatt is használható. A legjobb csavarozó szerszám, amit találhatsz.\r\n\r\nHasznos barkácsoláshoz. Nehéz igénybevételű szerszámakkumulátor szükséges a működéséhez."
,659189364A09150C41B727B08A98B52F,A hyperbaric welder. Can be used underwater. The best welding tool you'll find.\r\n\r\nUseful in crafting. Requires a heavy duty tool battery to function.,"Egy túlnyomásos hegesztő. Víz alatt is használható. A legjobb hegesztőszerszám, amit találhatsz.\r\n\r\nHasznos barkácsoláshoz. Nehéz igénybevételű szerszámakkumulátor szükséges a működéséhez."
,3ECA8A874CD6B9B0BB53C882186AA1EF,A jam made from freshly picked wild berries.,Egy lekvár frissen szedett vadon termő bogyókból.
,BE3E48F04924E0DA6514459129E775CB,A jam made from freshly picked wild berries.,Egy lekvár frissen szedett vadon termő bogyókból.
,75C5F5FB46E8A789B1D5558D0945F8E7,"A jar of homemade wild blackberry jam.\r\n\r\nA thick, filling jam foraged from wild berries.","Egy üveg házi vadszederlekvár.\r\n\r\nSűrű, laktató lekvár vadon termő bogyókból."
,BD6FC53A4F312CB1276E34BA5BD018B7,A jar of homemade wild blackberry jam.\r\n\r\nA thin jam foraged from wild berries. Has a weird texture.,Egy üveg házi vadszederlekvár.\r\n\r\nHíg lekvár vadon termő bogyókból. Furcsa az állaga.
,9671BD614E7696E8305A3EA0C318485E,A king boletus mushroom.\r\n\r\nSatisfies a small amount of hunger and may have an effect when consumed; can be refined further.,"Egy vargánya gomba.\r\n\r\nKis mértékben csillapítja az éhséget, és fogyasztva lehet valami hatása; tovább finomítható."
,2D0283F045DE0479337CAEB8ADB5497A,A liver.,Egy máj.
,3B31D1F2460A48C2654753ADC395F128,A more usable version of a plant to be used in more refined recipes.,"Egy növény jobban használható változata, finomabb receptekhez."
,5B6292C648DE29F411C53CADED74FEA1,A more usable version of a plant to be used in more refined recipes.,"Egy növény jobban használható változata, finomabb receptekhez."
,9452EF1C4965472CEBCD7784CB176F60,A more usable version of a plant to be used in more refined recipes.,"Egy növény jobban használható változata, finomabb receptekhez."
,A3059F9E4EAD157A3B166E8066F1BB37,A more usable version of a plant to be used in more refined recipes.,"Egy növény jobban használható változata, finomabb receptekhez."
,B7FB743049B05D50F63D2191AF057163,A more usable version of a plant to be used in more refined recipes.,"Egy növény jobban használható változata, finomabb receptekhez."
,D91556344032133C49292DB0F3551B20,A more usable version of a plant to be used in more refined recipes.,"Egy növény jobban használható változata, finomabb receptekhez."
,DE56F089425886EDBD2C2188E320AF81,A more usable version of a plant to be used in more refined recipes.,"Egy növény jobban használható változata, finomabb receptekhez."
,0B09B7C2473B65D0E3A12580A2D56878,"A pot, pan, or oven dish is required to cook on this stove. Make sure to check the recipe and add one to the tool slot!","Ezen a tűzhelyen a főzéshez fazék, serpenyő vagy sütőtál szükséges. Nézd meg a receptet, és tegyél egyet a szerszámhelyre!"
,532B2ACC4B41B3026EE649A53F45D294,"A pot, pan, or oven dish is required to cook on this stove. Make sure to check the recipe and add one to the tool slot!","Ezen a tűzhelyen a főzéshez fazék, serpenyő vagy sütőtál szükséges. Nézd meg a receptet, és tegyél egyet a szerszámhelyre!"
,0AF1EEF4477DA3FFD661E4B08C420537,"A pot, pan, or oven dish is required to cook. Make sure to check the recipe and add one to the tool slot!","A főzéshez fazék, serpenyő vagy sütőtál szükséges. Nézd meg a receptet, és tegyél egyet a szerszámhelyre!"
,C90709A34E6135562D03AEBB65A8DF65,"A pot, pan, or oven dish is required to cook. Make sure to check the recipe and add one to the tool slot!","A főzéshez fazék, serpenyő vagy sütőtál szükséges. Nézd meg a receptet, és tegyél egyet a szerszámhelyre!"
,83C102C54771A162B3AC208EEC385E9F,A sealable plastic bag. Waterproof.\r\n\r\nDrag items onto this to store them.,Egy visszazárható műanyag tasak. Vízálló.\r\n\r\nHúzz rá tárgyakat a tároláshoz.
,5245E1D94CAA4D4265A233899A163247,"A small ball with a bell inside of it. Some cats love these, some don't.\r\n\r\nThe bell inside makes a loud ringing noise when it hits a surface.","Egy kis labda, benne egy csengővel. Egyes macskák imádják, mások nem.\r\n\r\nA benne lévő csengő hangosan csilingel, amikor felülethez ér."
,4844ED9E4814F4A6C831AF8FEF0F9DFC,A small golf tee.,Egy kis golf-tee (letűző).
,26FD430440B84A060599D388D911D51F,"A small percentage of individuals may experience seizures or blackouts when exposed to certain light patterns or flashing images, even if they have no history of epilepsy or seizures.\r\n\r\nThis game may contain flashing lights.\r\n\r\nIf you may be susceptible to photosensitive epilepsy please consult a physician before playing.\r\n\r\nStop playing immediately and seek medical attention of you experience dizziness, altered vision, eye or muscle twitches, loss of awareness, disorientation, or convulsions.\r\n\r\nBy continuing, you acknowledge you have read and understood this warning.","Az emberek kis hányada rohamot vagy eszméletvesztést tapasztalhat bizonyos fényhatások vagy villódzó képek hatására, még akkor is, ha korábban soha nem volt epilepsziája vagy rohama.\r\n\r\nEz a játék villódzó fényeket tartalmazhat.\r\n\r\nHa hajlamos lehetsz fényérzékeny epilepsziára, játék előtt fordulj orvoshoz.\r\n\r\nAzonnal hagyd abba a játékot, és fordulj orvoshoz, ha szédülést, látászavart, szem- vagy izomrángást, tudatvesztést, tájékozódási zavart vagy görcsöket tapasztalsz.\r\n\r\nA folytatással elismered, hogy elolvastad és megértetted ezt a figyelmeztetést."
,B154EBAB4F648FF02580F5864E8F1F47,A soup made from a foraged plant that has an unknown medicinal effect.,"Egy leves gyűjtögetett növényből, ismeretlen gyógyhatással."
,E468FC8E4116013B96357EAD341E8DAA,A soup made from a foraged plant that has an unknown medicinal effect.,"Egy leves gyűjtögetett növényből, ismeretlen gyógyhatással."
,DA70B198481121BE5E56548FDEAB73F1,A standard golf ball. Has seen a lot of use.,Egy szabványos golflabda. Sok mindenen átment már.
,C1D65A6C45CCC26CFA7857A31196E506,A stomach.,Egy gyomor.
,5D9F905045A5B228B74CE3B50EA62D44,A tea made from a foraged plant that has an unknown medicinal effect.,"Egy tea gyűjtögetett növényből, ismeretlen gyógyhatással."
,9A03A8404DFF156B39FC07BCE3E425F0,A tea made from a foraged plant that has an unknown medicinal effect.,"Egy tea gyűjtögetett növényből, ismeretlen gyógyhatással."
,A4EA739F4A334DB2EF5A67882563A1CA,A tea made from a foraged plant that has an unknown medicinal effect.,"Egy tea gyűjtögetett növényből, ismeretlen gyógyhatással."
,C2E61AD948CFFC7183BA2ABDAD452F61,A tea made from a foraged plant that has an unknown medicinal effect.,"Egy tea gyűjtögetett növényből, ismeretlen gyógyhatással."
,D36F8F4340F4D7CF57BC9986223636DB,A tea made from a foraged plant that has an unknown medicinal effect.,"Egy tea gyűjtögetett növényből, ismeretlen gyógyhatással."
,0F9C6B914331EB5F59234DA6C18F5E1A,A tin of knitbone salve.\r\n\r\nA salve with an unknown medicinal effect.,Egy doboz nadálytő-kenőcs.\r\n\r\nIsmeretlen gyógyhatású kenőcs.
,7AF7F9354D0A8CE5A7E8BE90AD0B929F,A tin of wild garlic salve.\r\n\r\nA salve with an unknown medicinal effect.,Egy doboz medvehagyma-kenőcs.\r\n\r\nIsmeretlen gyógyhatású kenőcs.
,58C11B274904A48E0511FA958211A743,A tin of wild ginger salve.\r\n\r\nA salve with an unknown medicinal effect.,Egy doboz vadgyömbér-kenőcs.\r\n\r\nIsmeretlen gyógyhatású kenőcs.
,BD1B59094FBA55E11D5C6D862E25E17F,A tin of yarrow salve.\r\n\r\nA salve with an unknown medicinal effect.,Egy doboz cickafark-kenőcs.\r\n\r\nIsmeretlen gyógyhatású kenőcs.
,0E7A6B1E42A8F058F814358D5145990D,A toy rocket. Does NOT contain a radioactive isotope!,Egy játékrakéta. NEM tartalmaz radioaktív izotópot!
,581667CE408262A7EF35259345A07DFF,A usable salve that has an unknown medicinal effect.,"Egy használható kenőcs, ismeretlen gyógyhatással."
,904AF47C4464EA70EBA9B6BD398D98BA,A usable salve that has an unknown medicinal effect.,"Egy használható kenőcs, ismeretlen gyógyhatással."
,A8EEEA8940F1AEA6F5744481175478A5,A usable salve that has an unknown medicinal effect.,"Egy használható kenőcs, ismeretlen gyógyhatással."
,BC50C1C740DA773725AB098B9FD98A84,A usable salve that has an unknown medicinal effect.,"Egy használható kenőcs, ismeretlen gyógyhatással."
,4EE2B53440D4A3705A3B9F9B8CF9D014,A witch's hat mushroom.\r\n\r\nSatisfies a small amount of hunger and may have an effect when consumed; can be refined further.,"Egy boszorkánykalap gomba.\r\n\r\nKis mértékben csillapítja az éhséget, és fogyasztva lehet valami hatása; tovább finomítható."
,981193054D1ABD4A10ABD3AEF4BB49CE,ARMORY,FEGYVERTÁR
,3647714D4F6823FA65282BA46FC25720,"AS I SEE IT, YES","AHOGY ÉN LÁTOM, IGEN"
,E691DF7640A28A6E1F8EF6A4A4B27A6B,ASK AGAIN LATER,KÉRDEZD MEG KÉSŐBB
,D08CF9F241A8F018BCE859B8391DBE54,Abominations,Szörnyűségek
,DF1B568A4494FEA47DC69A9F8402CE2F,About to Drown,Vízbefulladás küszöbén
,01F288584ACC43423411318AABD1ED4C,Add an ingredient here.,Tegyél ide egy hozzávalót.
,76E219A6438E6E39828F22B7AF48C014,Add fuel here.,Tegyél ide üzemanyagot.
,0D1200B247508A1872996CA3BFF1D699,Adirondack Park Rd,Adirondack Park Rd
,284800864C3AD5770C66739B497FFE4E,Admin Menu,Admin menü
,91B11C464D78341E0C18B7A9711AB6E3,Admin Menu,Admin menü
,B4338DB4424D1439EF89388CD55FC10F,Administer,Adminisztrálás
,D01FCCD9437B49E03E1A7E9FB0A6ACB2,Advanced,Fejlett
,8A75E56C48177CA0713688908BAA4B9C,Advanced Workbench,Fejlett munkapad
,D5E01A3C4E1ED300AC20F59FA2A07D51,Agoraphobia,Agorafóbia
,5F8F19F5475EF3116ECF7AA3062D8FCA,"Ah, Zombies! (Panic)","Ó, zombik! (Pánik)"
,891AC3BF4B12A5FF5AC2E19BC97895A5,Air Conditioner,Légkondicionáló
,703682774D0CC68A600E639BE6B87764,Alcoholic,Alkoholista
,4D8C731E47DFC04C36EC989E70CB5FD3,Alder Brook Park Rd,Alder Brook Park Rd
,A02259074E1DA85286768998922F5231,Ambulance,Mentőautó
,5AB96BCC4DAEDDC9213199B5D575F234,Ammo spawned.,Lőszer létrehozva.
,DDB046A946A4A6815F9F7482E8FE97F3,"An elongated, flattened crystal that naturally formed into a knife-like shape.\r\n\r\nBrittle and irreparable, however it'll slice through flesh like butter. \r\n\r\nUseful in crafting.","Egy hosszúkás, lapos kristály, amely természetes módon kés alakúra formálódott.\r\n\r\nTörékeny és javíthatatlan, viszont úgy hasít a húsba, mint kés a vajba. \r\n\r\nHasznos a barkácsoláshoz."
,FB84BED34000FC8CB69D47975C0ECC91,"An improved arrow for use with a bow, tipped with an iron arrowhead.","Továbbfejlesztett nyílvessző íjhoz, vas hegyével ellátva."
,9FF08C86429A388F87E10F898180097D,An industrial driver.\r\n\r\nUseful in crafting. Requires tool battery to function.,Egy ipari csavarbehajtó.\r\n\r\nHasznos a barkácsoláshoz. A működéséhez szerszámakkumulátor szükséges.
,E0B3DB5242D264AC0B3EF2AB7082FB13,Animal Blood,Állati vér
,1BEDB9724B7400EF8F3B6B99131F66D4,Anti-Anxiety Pills,Szorongásoldó tabletta
,2962DF134C5CD9D95AB8109753C4395F,Apply,Alkalmaz
,3A7A02B343EF8AE784753D8266581836,Apply,Alkalmaz
,9AE6106A4259AE8819DC7E92057E64CD,Apply,Alkalmaz
,FFB9F2C6451F293343BCCB987B4A3840,Apply,Alkalmaz
,E45F7F814267D0ECE29D43B660562FA0,Apply Cream,Krém felvitele
,530573E947BC1F13B6857792CDE48A19,Apply Salve,Kenőcs felvitele
,71B24AC04D60E0E950EC6A81C75AD9FE,Apply Salve,Kenőcs felvitele
,B38BF00440E2030D2B8FC4988E8655E2,Apply Salve,Kenőcs felvitele
,F61D41904E5264DA2A3793AD5AF35049,Apply Salve,Kenőcs felvitele
,D831DD3047041A300F8B9EA602416983,Are you sure you want to delete this character? They can't be recovered.,Biztosan törlöd ezt a karaktert? Nem állítható vissza.
,D67BF8DB4E51CE1F9AAB958EB14F5CAA,Are you sure you want to delete your save? You can't get it back.,Biztosan törlöd a mentésedet? Nem szerezheted vissza.
,1BB6D3284CC7EDEEDC40DEB9637DEB8D,Are you sure you want to dissolve your group? It will be disbanded.,Biztosan fel akarod oszlatni a csoportodat? Meg fog szűnni.
,E0B5579F4B39B7B93B29FA9BCAEE9266,Are you sure you want to kick this person? They will need to be re-invited to rejoin.,"Biztos, hogy ki akarod rúgni ezt a személyt? Újra meg kell hívni, hogy visszatérhessen."
,7C7E2346473941B833815487FD1A1B65,Are you sure you want to leave your group? You will need to be re-invited to come back.,"Biztos, hogy el akarod hagyni a csoportodat? Újra meg kell hívni, hogy visszatérhess."
,4190262C494FA2318F3F08916348B171,Are you sure?,Biztos vagy benne?
,C7B92396482AF201A32BEF8DC26421DE,Arrow,Nyílvessző
,3FFBEF9E49276509CC6A3FB57B684B14,Attach Industrial Wiring,Ipari vezeték csatlakoztatása
,6FE0E9D2451A435AE710F799E9A14C4E,Attach Industrial Wiring,Ipari vezeték csatlakoztatása
,2C3F93BE4AD99C75484CB4853829F2E4,Attach Wiring,Vezeték csatlakoztatása
,65AB5A344946815A9829B9BF4E3119B7,BETTER NOT TELL YOU NOW,"JOBB, HA MOST NEM MONDOM MEG"
,BEB941F945CB0EB8C6F90B95945E6DBC,BLADED,PENGÉS
,6A491DC44BC2F20699E668A4B3FBB52F,BLUNT,ÜTŐDÉSES
,2F07B28148A36FD91FE467861B01FC46,BOWEN RD,BOWEN RD
,FA9E125C46203579ADCE9A838514B0B8,BOWEN RD,BOWEN RD
,1100689F4C55657B16314EAE8EF84316,BRIDGE ST,BRIDGE ST
,4A120D2C4C99DA605A1CCDA0E665D447,BRIDGE ST,BRIDGE ST
,4C4241534EC42EC7D2C7FEA5E2DEEDD7,BRIDGE ST,BRIDGE ST
,AB410B9E4D052C82608A3B8A8BF9A694,BRIDGE ST,BRIDGE ST
,B220B69E44730EDC23D896BC77D27E29,BRIDGE ST,BRIDGE ST
,EA1F56494A28711D243FD0B53B791371,BRIDGE ST,BRIDGE ST
,1D4DC121494553FC25011CA80E79380A,Back,Hát
,74A5061B41B66EBB61A171A9D3343C8A,Back,Hát
,5D9BDBBB4E9BDAD608F75EB3DAC02E94,Bag,Táska
,A0C3DE87461884D53E012FA7039A7712,Bag,Táska
,2C689B38416D5CDA6FADAFA1969634FF,Ball Cage,Labdaketrec
,A84735D94133ADA3C7EE18A314D29C15,Ball Park Rd,Ball Park Rd
,58A9A916416D1C2D6FC8F6A6D372B22E,Balsam Rd,Balsam Rd
,3EC660D044B49F17FF2B33A84AF0955B,Barker St,Barker St
,A98B174549B20963901CDE91202E1F13,Barker St,Barker St
,304D606A4B48659D75E2C8B2475EC82A,Barn Door,Istállóajtó
,51BBA4D746912C5E044186BAAF1361C0,Barn Door,Istállóajtó
,78F9B0834FF8A0E2E5390F947A396106,Barn Door,Istállóajtó
,087064274DDEFACE99DC9B882A35F7AE,Barred Door,Rácsos ajtó
,174880B74BC5AB64B16C65AC075889A3,Barred Door,Rácsos ajtó
,E13B53504F19C5BF7E5246941DC9DFC0,Bathroom Sink,Fürdőszobai mosdó
,36E7D9FA413E82C5BAD86A9EFB038B9C,Battery Charger,Akkumulátortöltő
,8884E3AF459B031589C59DA218A8A47E,Battery Charger,Akkumulátortöltő
,9643FC914607BAF837B0AFBC4091F64C,Battery Charger,Akkumulátortöltő
,D47BDBA04ED735AFFA8C84A1A84D4401,Battery Charger,Akkumulátortöltő
,5729011D45CFC90B814FE997857C6734,Bauxite Vein,Bauxitér
,C9EDCC9B436758F1ED91549F0B048680,Beaker is empty.,A főzőpohár üres.
,CD5E32554621E35A8E993EB1249E0248,Beaker is empty.,A főzőpohár üres.
,96699ECA471BB67BEAD049B7F81DF184,Beware,Vigyázz
,8833DE5342DAA91EC28965B4EEEFC3B6,Bicycle,Kerékpár
,576008524A78DE00DE8229BB4D9D5E59,Bike Rack,Kerékpártartó
,0404F8A746DFEC47BC5EF8BFDEF83350,Birch Ln,Birch Ln
,0A51BAB74B5B3DB95E1AF295CF431502,Birch Ln,Birch Ln
,150108E64C865792241B20BF41173039,Birch Ln,Birch Ln
,8A36FC7D4C83805596AEA3B3BBEA9065,Bird Feeder,Madáretető
,9C4D200045EBE63A467253B75DDB9DFA,Bird Feeder,Madáretető
,C06151ED4EE95BA8F8711396F276891A,Bird Feeder,Madáretető
,DEFD3D5E4E4D0C33863ECAB66DAD98B0,Bird Feeder,Madáretető
,E1B7356B421E1B9962A24B89A10496E8,Bird Feeder,Madáretető
,AA6A48A3410334E20E4DF690B29F1982,Bird Feeder Post,Madáretető-tartóoszlop
,F77DBE8E484BBEEF8F4AB18B28023D8B,Bird Statue,Madárszobor
,F148F2F24FCDBF939FA2B78FD7D06E33,Bite,Harapás
,1EA8516F4212CC0F6490698A907445AB,Blade,Penge
,36B2FEBB421D744D1EA9CE91905DE575,Blade,Penge
,A72AA5DC4966D000B28E57BFD77E3993,Blade,Penge
,1A2FBCEC4F1D900BF026A8AA911ACEBF,Blade Health,Penge állapota
,6038A5CF4BE67E1449BE21BC2F6BE123,Blade Health,Penge állapota
,C74B1C294C247A6F7D7CC8B75A0764A5,Blade Health,Penge állapota
,B3DF49054702FA6B4B858DBBB71B069D,Blade Remaining Uses,Penge hátralévő használata
,BFF42E144B9D7519B8B6A48439EFA2DA,Blade Remaining Uses,Penge hátralévő használata
,EC899B2D44C1EBA2C2F520A5057EDD3C,Blade Remaining Uses,Penge hátralévő használata
,3F824C4E4E0D0FEBB897168A93838FC0,Bleeding Bite,Vérző harapás
,2C76DE3641954E6863E2E3B56670305B,Blood Soup,Vérleves
,1C412D534576FF1B8C9709BC6B5E1D94,Blood bag is empty.,A vérzsák üres.
,F0D66F754677859E0A4152A462F1A0E1,Blood bag is empty.,A vérzsák üres.
,34F307B546DDD387609867988C8093E8,Bloodmeal,Vérliszt (növény tápszer)
,06829FF240BECD61CFDA12B6E32A0803,Blue Spruce Dr,Blue Spruce Dr
,2FF2BB724BFDB5330B0E0EAB9BB4ACD1,Blue Spruce Dr,Blue Spruce Dr
